site_name,state,district,district_confidence,scheme,tradition,group,serves,sanction_date,completion_date,status,source_url,verified,note
Shirdi Airport,Maharashtra,Ahmednagar,med,Airport (MADC),Hindu,treated_pilgrimage,Sai Baba Shirdi,,2017-10-01,completed,https://en.wikipedia.org/wiki/Shirdi_Airport,YES,district renamed Ahilyanagar 2024 - needs alias
Prayagraj Airport new terminal,Uttar Pradesh,Prayagraj,high,Airport (AAI),Hindu,treated_pilgrimage,Kumbh Mela / Triveni Sangam,,2018-12-16,completed,https://www.pmindia.gov.in/en/news_updates/pm-at-prayagraj-inaugurates-new-airport-complex-integrated-command-and-control-centre-for-kumbh-mela-launches-development-projects/,YES,2025 Maha Kumbh is a second shock in the post window
Kartarpur Corridor ICP,Punjab,Gurdaspur,high,Land Ports Authority ICP,Sikh,treated_pilgrimage,Kartarpur Sahib,,2019-11-09,completed,https://pib.gov.in/Pressreleaseshare.aspx?PRID=1590996,YES,closed 16 Mar 2020 to 17 Nov 2021 for COVID - treatment switched off 20 months
Girnar Ropeway,Gujarat,Junagadh,high,Ropeway (state PPP),Hindu-Jain,treated_pilgrimage,Girnar Ambaji and Jain temples,,2020-10-24,completed,https://en.wikipedia.org/wiki/Girnar_ropeway,YES,opened inside the COVID window
Kushinagar International Airport,Uttar Pradesh,Kushinagar,high,Airport (AAI),Buddhist,treated_pilgrimage,Mahaparinirvana Temple,2020-06-24,2021-11-26,completed,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1775572,YES,low initial frequency - check AAI traffic before trusting a null
Deoghar Airport,Jharkhand,Deoghar,med,Airport (AAI),Hindu,treated_pilgrimage,Baba Baidyanath Dham,,2022-07-12,completed,https://en.wikipedia.org/wiki/Deoghar_Airport,YES,confirm the screener matches Jharkhand Deoghar not Odisha Deogarh
Kannur International Airport,Kerala,Kannur,high,Airport (KIAL),None (control),control_nonpilgrimage,regional and Gulf diaspora,,2018-12-09,completed,https://www.theweek.in/news/india/2018/12/09/kannur-on-aviation-map-as-kerala-new-airport-opens-first-flight-takes-off.html,YES,traffic is remittance and diaspora driven not tourism
Jharsuguda Airport,Odisha,Jharsuguda,high,Airport (AAI/UDAN),None (control),control_nonpilgrimage,industrial and coal belt,,2019-03-31,completed,https://en.wikipedia.org/wiki/Veer_Surendra_Sai_Airport,PARTIAL,inaugurated 22 Sep 2018 but scheduled service dated from SpiceJet 31 Mar 2019
Kalaburagi Airport,Karnataka,Kalaburagi,high,Airport (AAI/UDAN),None (control),control_nonpilgrimage,regional administrative centre,,2019-11-22,completed,https://en.wikipedia.org/wiki/Kalaburagi_Airport,YES,
Darbhanga Airport,Bihar,Darbhanga,high,Airport (AAI/UDAN),None (control),control_nonpilgrimage,Mithila region,,2020-11-08,completed,https://en.wikipedia.org/wiki/Darbhanga_Airport,YES,
Bareilly Airport,Uttar Pradesh,Bareilly,high,Airport (AAI/UDAN),Ambiguous,ambiguous,Dargah Ala Hazrat and Nath temples,,2021-03-08,completed,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1703151,YES,NOT a clean control - Bareilly is itself a pilgrimage centre
Maharishi Valmiki Airport,Uttar Pradesh,Ayodhya,high,Airport (AAI),Hindu,excluded_confounded,major religious site in the same district,,2023-12-30,completed,https://en.wikipedia.org/wiki/Maharishi_Valmiki_International_Airport,YES,opened 23 days before a major religious site in the same district - the two treatments cannot be separated
